Height,Length,Width,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Power,Torque,Model
1505 mm,3985 mm,1734 mm,18.6 km/litre,1060 kg,5,170 mm,84PS@6000rpm,115Nm@4000rpm,Elite I20
1505 mm,3985 mm,1734 mm,22.54 km/litre,1515 kg,6,170 mm,90PS@4000rpm,220Nm@1500rpm,Elite I20
1520 mm,3995 mm,1680 mm,20.5 km/litre,,5,,83PS@6000rpm,114Nm@4000rpm,Aura
1520 mm,3995 mm,1680 mm,20.5 km/litre,,5,,83PS@6000rpm,114Nm@4000rpm,Aura
1520 mm,3995 mm,1680 mm,20.1 km/litre,,5,,83PS@6000rpm,114Nm@4000rpm,Aura
1520 mm,3995 mm,1680 mm,20.5 km/litre,,5,,83PS@6000rpm,114Nm@4000rpm,Aura
1520 mm,3995 mm,1680 mm,20.1 km/litre,,5,,83PS@6000rpm,114Nm@4000rpm,Aura
1520 mm,3995 mm,1680 mm,20.5 km/litre,,5,,83PS@6000rpm,114Nm@4000rpm,Aura
1520 mm,3995 mm,1680 mm,20.5 km/litre,,5,,69PS@6000rpm,95Nm@4000rpm,Aura
1520 mm,3995 mm,1680 mm,20.5 km/litre,,5,,100PS@6000rpm,172Nm@1500-4000rpm,Aura
1520 mm,3995 mm,1680 mm,25.35 km/litre,,5,,75PS@4000rpm,190NM@1750-2250RPM,Aura
1520 mm,3995 mm,1680 mm,20.4 km/litre,,5,,75PS@4000rpm,190NM@1750-2250RPM,Aura
1520 mm,3995 mm,1680 mm,25.4 km/litre,,5,,75PS@4000rpm,190NM@1750-2250RPM,Aura
1520 mm,3995 mm,1680 mm,25.35 km/litre,,5,,75PS@4000rpm,190NM@1750-2250RPM,Aura
1469 mm,3971 mm,1682 mm,18.78 km/litre,1033 kg,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,Polo
1469 mm,3971 mm,1682 mm,18.78 km/litre,1049 kg,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,Polo
1469 mm,3971 mm,1682 mm,18.78 km/litre,1053 kg,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,Polo
1469 mm,3971 mm,1682 mm,20.14 km/litre,1033 kg,5,165 mm,90PS@4200rpm,230Nm@1500-2500rpm,Polo
1469 mm,3971 mm,1682 mm,20.14 km/litre,1142 kg,5,165 mm,90PS@4200rpm,230Nm@1500-2500rpm,Polo
1469 mm,3971 mm,1682 mm,20.14 km/litre,1158 kg,5,165 mm,90PS@4200rpm,230Nm@1500-2500rpm,Polo
1469 mm,3971 mm,1682 mm,17.21 km/litre,1109 kg,7,165 mm,105PS@5000rpm,175Nm@1500-4100rpm,Polo
1469 mm,3971 mm,1682 mm,19.91 km/litre,1148 kg,5,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,Polo
1515 mm,3995 mm,1735 mm,22 km/litre,860 kg,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,Dzire
1515 mm,3995 mm,1735 mm,22 km/litre,872 kg,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,Dzire
1515 mm,3995 mm,1735 mm,28.4 km/litre,955 kg,5,163 mm,75PS@4000rpm,190Nm@2000rpm,Dzire
1515 mm,3995 mm,1735 mm,22 km/litre,882 kg,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,Dzire
1515 mm,3995 mm,1735 mm,28.4 km/litre,967 kg,5,163 mm,75PS@4000rpm,190Nm@2000rpm,Dzire
1515 mm,3995 mm,1735 mm,22 km/litre,872 kg,4,163 mm,84.3PS@6000rpm,115Nm@4000rpm,Dzire
1515 mm,3995 mm,1735 mm,28.4 km/litre,978 kg,5,163 mm,75PS@4000rpm,190Nm@2000rpm,Dzire
1515 mm,3995 mm,1735 mm,28.4 km/litre,978 kg,5,163 mm,75PS@4000rpm,190Nm@2000rpm,Dzire
1515 mm,3995 mm,1735 mm,22 km/litre,895 kg,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,Dzire
1515 mm,3995 mm,1735 mm,22 km/litre,882 kg,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,Dzire
1515 mm,3995 mm,1735 mm,22 km/litre,990 kg,5,163 mm,84.3PS@6000rpm,115Nm@4000rpm,Dzire
1515 mm,3995 mm,1735 mm,28.4 km/litre,895 kg,5,163 mm,75PS@4000rpm,190Nm@2000rpm,Dzire
1515 mm,3995 mm,1735 mm,28.4 km/litre,967 kg,5,163 mm,75PS@4000rpm,190Nm@2000rpm,Dzire
1515 mm,3995 mm,1735 mm,28.4 km/litre,990 kg,5,163 mm,75PS@4000rpm,190Nm@2000rpm,Dzire
1570 mm,3954 mm,1737 mm,24.4 km/litre,1062 kg,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,Freestyle
1570 mm,3954 mm,1737 mm,24.4 km/litre,1074 kg,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,Freestyle
1570 mm,3954 mm,1737 mm,24.4 km/litre,1080 kg,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,Freestyle
1570 mm,3954 mm,1737 mm,19 km/litre,1026 kg,5,190 mm,96PS@6500rpm,120Nm@4250rpm,Freestyle
1570 mm,3954 mm,1737 mm,19 km/litre,1038 kg,5,190 mm,96PS@6500rpm,120Nm@4250rpm,Freestyle
1570 mm,3954 mm,1737 mm,19 km/litre,1044 kg,5,190 mm,96PS@6500rpm,120Nm@4250rpm,Freestyle
1570 mm,3954 mm,1737 mm,19 km/litre,1032 kg,5,190 mm,96PS@6500rpm,120Nm@4250rpm,Freestyle
1570 mm,3954 mm,1737 mm,24.4 km/litre,1068 kg,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,Freestyle
1483 mm,3995 mm,1682 mm,21.66 km/litre,1044 kg,,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,Ameo
1483 mm,3995 mm,1682 mm,21.66 km/litre,1044 kg,,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,Ameo
1483 mm,3995 mm,1682 mm,21.73 km/litre,1184 kg,7,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,Ameo
1483 mm,3995 mm,1682 mm,21.66 km/litre,1044 kg,,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,Ameo
1483 mm,3995 mm,1682 mm,19 km/litre,1027 kg,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,Ameo
1483 mm,3995 mm,1682 mm,19 km/litre,1039 kg,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,Ameo
1483 mm,3995 mm,1682 mm,19 km/litre,1050 kg,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,Ameo
1483 mm,3995 mm,1682 mm,21.73 km/litre,1184 kg,7,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,Ameo
1525 mm,3995 mm,1704 mm,20.4 km/litre,1016-1043 kg,5,,96PS@6500rpm,120Nm@4250rpm,Aspire
1525 mm,3995 mm,1704 mm,20.4 km/litre,1016-1043 kg,5,,96PS@6500rpm,120Nm@4250rpm,Aspire
1525 mm,3995 mm,1704 mm,20.4 km/litre,1016-1043 kg,5,,96PS@6500rpm,120Nm@4250rpm,Aspire
1525 mm,3995 mm,1704 mm,26.1 km/litre,1053-1080 kg,5,,100PS@3750RPM,215Nm@1750-3000RPM,Aspire
1525 mm,3995 mm,1704 mm,26.1 km/litre,1053-1080 kg,5,,100PS@3750RPM,215Nm@1750-3000RPM,Aspire
1525 mm,3995 mm,1705 mm,26.1 km/litre,1053-1080 kg,5,,100PS@3750RPM,215Nm@1750-3000RPM,Aspire
1525 mm,3995 mm,1704 mm,26.1 km/litre,1053-1080 kg,5,,100PS@3750RPM,215Nm@1750-3000RPM,Aspire
1525 mm,3995 mm,1704 mm,26.1 km/litre,1053-1080 kg,5,,100PS@3700RPM,215Nm@1750-3000RPM,Aspire
1525 mm,3995 mm,1704 mm,19.4 km/litre,,5,,96PS@6500rpm,120Nm@4250rpm,Aspire
1525 mm,3995 mm,1704 mm,19.4 km/litre,1016-1043 kg,5,,96PS@6500rpm,120Nm@4250rpm,Aspire
1525 mm,3995 mm,1704 mm,,1016-1043 kg,5,,96PS@6300rpm,120Nm@4250rpm,Aspire
1525 mm,3995 mm,1704 mm,19.4 km/litre,1016-1043 kg,5,,96PS@6500rpm,120Nm@4250rpm,Aspire
1525 mm,3995 mm,1704 mm,26.1 km/litre,1053-1080 kg,5,,100PS@3750RPM,215Nm@1750-3000RPM,Aspire
1510 mm,4369 mm,1695 mm,16.78 km/litre,935 kg,5,170 mm,90PS@5600rpm,132Nm@3000rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,16.78 km/litre,935 kg,5,170 mm,90PS@5600rpm,132Nm@3000rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,23.59 km/litre,1020 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,23.59 km/litre,1020 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,23.59 km/litre,1020 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,16.78 km/litre,990 kg,5,170 mm,90PS@5600rpm,132Nm@3000rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,16.78 km/litre,935 kg,5,170 mm,90PS@5600rpm,132Nm@3000rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,23.59 km/litre,1020 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,23.59 km/litre,1020 kg,5,170 mm,68PS@3800rpm,170Nm@1800-2400rpm,Platinum Etios
1510 mm,4369 mm,1695 mm,16.78 km/litre,990 kg,5,170 mm,90PS@5600rpm,132Nm@3000rpm,Platinum Etios
1555 mm,3895 mm,1735 mm,16.78 km/litre,950 kg,5,174 mm,90PS@5600rpm,132Nm@3000rpm,Etios Cross
1555 mm,3895 mm,1735 mm,17.71 km/litre,935 kg,5,174 mm,80PS@5600rpm,104Nm@3100rpm,Etios Cross
1555 mm,3895 mm,1735 mm,23.59 km/litre,1030 kg,5,174 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Cross
1555 mm,3895 mm,1735 mm,23.59 km/litre,1015 kg,5,174 mm,68PS@3800rpm,170Nm@1800-2400rpm,Etios Cross
1555 mm,3895 mm,1735 mm,17.71 km/litre,935 kg,5,174 mm,80PS@5600rpm,104Nm@3100rpm,Etios Cross
