Torque,Power,ARAI_Certified_Mileage,Ex-Showroom_Price
620Nm@1500-2500rpm,265HP@4000rpm,13.38 km/litre,"Rs. 73,30,000"
620Nm@1500-2500rpm,265HP@4000rpm,13.38 km/litre,"Rs. 82,90,000"
450Nm@1500-5200rpm,340HP@4000rpm,11.24 km/litre,"Rs. 82,90,000"
515Nm@4250-4300RPM,401PS@6550RPM,13 km/litre,"Rs. 74,62,000"
570Nm@2000rpm,240PS@3600rpm,12.8 km/litre,"Rs. 78,82,867"
570Nm@2000rpm,240PS@3600rpm,12.8 km/litre,"Rs. 89,31,819"
624 Nm @ 4100 rpm,468 bhp @ 6250 rpm,12.8 km/litre,"Rs. 1,14,00,000"
347Nm@4300rpm,286PS@6350rpm,8.61 km/litre,"Rs. 75,15,000"
480Nm@1600-4000RPM,334PS@6000RPM,10 km/litre,"Rs. 77,11,338"
550Nm@2350-5230rpm,410hp@5230-7000RPM,9.8-10.0 km/litre,"Rs. 81,80,000"
380Nm@1950-4500RPM,300PS@6500rpm,7.4 km/litre,"Rs. 89,95,000"
380Nm@1950-4500RPM,300PS@6500rpm,7.4 km/litre,"Rs. 85,95,000"
619Nm@1600-2400RPM,258PS@3600rpm,11.6 km/litre,"Rs. 88,20,000"
760Nm@5250RPM,557PS@5500RPM,12 km/litre,"Rs. 1,91,99,181"
480Nm@5250rpm,333PS@5250rpm,12 km/litre,"Rs. 87,76,900"
480Nm@5250rpm,333PS@5250rpm,12 km/litre,"Rs. 86,90,000"
619Nm@1600-2400RPM,258PS@3600rpm,11.6 km/litre,"Rs. 86,90,000"
410Nm@1600-2800rpm,173PS@3400rpm,11.13 km/litre,"Rs. 96,30,000"
335Nm@4600rpm,262PS@6000rpm,18 km/litre,"Rs. 99,00,000"
600Nm@1900-5000rpm,450PS@5700-6700rpm,10.8 km/litre,"Rs. 1,11,41,200"
620Nm@2000-2500RPM,265PS@4000RPM,17.66 km/litre,"Rs. 1,22,90,000"
620Nm@2000-2500RPM,265PS@4000RPM,17.66 km/litre,"Rs. 1,32,00,000"
